N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,에코프로비엠,"229,000","5,500",+2.46%,500,"223,965","97,801",9.41,"1,133,813",94.12,24.26,
2,에코프로,"551,000","30,000",+5.76%,500,"146,718","26,628",5.07,"1,449,313",388.58,2.94,
3,셀트리온헬스케어,"72,000","1,300",-1.77%,"1,000","118,409","164,457",16.43,"633,227",80.45,7.06,
4,엘앤에프,"251,500","5,500",+2.24%,500,"90,586","36,018",22.43,"618,771",49.11,28.26,
5,HLB,"34,700",300,-0.86%,500,"42,545","122,607",14.79,"512,048",-51.26,-14.56,
6,JYP Ent.,"115,400","19,900",+20.84%,500,"40,964","35,497",44.40,"3,292,060",60.70,24.67,
7,셀트리온제약,"81,200",200,-0.25%,500,"32,146","39,588",7.76,"119,150",123.78,7.54,
8,카카오게임즈,"38,350",500,-1.29%,100,"31,617","82,443",11.67,"279,553",-13.09,-12.35,
9,펄어비스,"45,150",50,+0.11%,100,"29,004","64,240",14.19,"263,941",-68.20,-6.06,
10,오스템임플란트,"185,900",100,+0.05%,500,"28,957","15,576",0.95,"1,242",19.36,50.20,
11,에스엠,"109,200","6,700",+6.54%,500,"26,023","23,831",15.94,"920,538",32.47,12.19,
12,알테오젠,"43,700","1,000",-2.24%,500,"22,517","51,527",8.91,"303,207",-280.13,-5.76,
13,케어젠,"200,000","2,500",-1.23%,500,"21,486","10,743",4.34,"37,282",63.41,12.81,
14,레인보우로보틱스,"100,900","7,100",-6.57%,500,"19,424","19,251",2.44,"771,446",289.94,10.56,
15,스튜디오드래곤,"63,500",200,-0.31%,500,"19,087","30,058",8.15,"92,135",37.71,7.52,
16,천보,"184,700",700,+0.38%,500,"18,470","10,000",6.37,"64,844",49.44,11.90,
17,HPSP,"22,500",650,-2.81%,500,"18,261","81,159",9.30,"1,949,072",24.92,53.20,
18,포스코DX,"11,560",290,-2.45%,500,"17,575","152,035",3.96,"2,384,047",38.53,11.84,
19,리노공업,"110,800","4,000",-3.48%,500,"16,889","15,242",40.44,"333,163",14.77,25.11,
20,성일하이텍,"138,900","1,700",+1.24%,500,"16,649","11,986",3.53,"207,133",36.84,19.62,
21,솔브레인,"212,500","1,000",-0.47%,500,"16,529","7,779",29.87,"15,394",10.15,23.03,
22,메디톡스,"226,000","4,500",-1.95%,500,"16,493","7,298",11.24,"253,952",45.45,8.95,
23,더블유씨피,"48,350","1,300",-2.62%,500,"16,292","33,697",4.73,"98,295",24.95,8.25,
24,CJ ENM,"74,100",600,-0.80%,"5,000","16,250","21,929",14.97,"53,900",-13.53,-3.28,
25,클래시스,"24,700",800,+3.35%,100,"16,000","64,777",71.54,"380,220",21.22,38.33,
26,와이지엔터테인먼트,"85,000","7,300",+9.40%,500,"15,866","18,665",15.23,"2,664,514",46.88,8.56,
27,위메이드,"46,250","2,600",+5.96%,500,"15,631","33,797",2.57,"1,078,512",-8.39,-37.05,
28,에스티팜,"82,900",400,+0.48%,500,"15,592","18,809",3.04,"66,196",86.62,5.45,
29,동진쎄미켐,"29,950",300,-0.99%,500,"15,399","51,414",7.36,"433,619",9.66,25.51,
30,카나리아바이오,"31,650",100,-0.31%,100,"14,833","46,865",1.61,"1,507,355",-4.13,N/A,
31,원익IPS,"29,500","1,000",+3.51%,500,"14,480","49,084",17.52,"396,513",16.19,10.71,
32,삼천당제약,"62,000",600,+0.98%,500,"14,301","23,067",9.74,"264,720",242.19,3.36,
33,나노신소재,"130,000","2,600",+2.04%,500,"14,103","10,848",6.40,"226,793",79.71,12.84,
34,넥슨게임즈,"20,900",150,+0.72%,500,"13,744","65,761",2.77,"966,015",69.67,N/A,
35,에스에프에이,"37,800",0,0.00%,500,"13,574","35,909",15.46,"111,809",17.59,6.98,
36,대주전자재료,"87,600",300,-0.34%,500,"13,561","15,481",13.46,"223,799","1,347.69",0.80,
37,파라다이스,"14,780",170,-1.14%,500,"13,549","91,673",7.81,"449,655",52.97,1.95,
38,휴젤,"108,500","1,900",-1.72%,500,"13,438","12,385",59.53,"31,713",23.44,7.31,
39,윤성에프앤씨,"149,600",100,+0.07%,100,"11,937","7,979",0.23,"176,806",N/A,29.10,
40,씨젠,"22,800",750,-3.18%,500,"11,908","52,226",13.37,"328,936",6.54,16.34,
41,바이오니아,"45,150","1,500",-3.22%,500,"11,653","25,810",4.73,"1,345,669",96.47,5.50,
42,파마리서치,"113,200","10,300",+10.01%,500,"11,543","10,197",12.62,"641,460",28.21,12.51,
43,피엔티,"50,500",500,+1.00%,500,"11,484","22,741",9.78,"185,553",19.09,28.10,
44,티씨케이,"97,100",600,+0.62%,500,"11,336","11,675",70.10,"29,307",12.05,24.87,
45,HLB생명과학,"10,980",190,-1.70%,500,"11,171","101,744",4.91,"396,663",-20.41,-22.57,
46,레고켐바이오,"41,050",500,-1.20%,500,"10,874","26,490",10.15,"126,218",-24.88,N/A,
47,에이비엘바이오,"22,050",300,-1.34%,500,"10,543","47,816",6.20,"375,282",329.10,N/A,
48,엔켐,"65,800","2,300",+3.62%,500,"10,537","16,014",4.81,"323,656",51.45,8.48,
49,에스앤에스텍,"47,500",200,+0.42%,500,"10,189","21,451",4.69,"359,218",58.35,9.57,
50,덕산네오룩스,"41,000","1,500",+3.80%,200,"10,181","24,831",6.59,"154,140",32.41,12.82,
